fangjian_value,sum,mean,median,var,min,max
911,26.46,3.3075,3.505,0.21256428571428568,2.58,3.76
912,16.36,2.045,2.125,0.11928571428571422,1.48,2.53
913,15.4,1.925,1.855,0.27105714285714266,1.33,2.9
914,0.0,0.0,0.0,0.0,0.0,0.0
915,4.69,0.58625,0.575,0.008912499999999995,0.46,0.76
916,10.180000000000001,1.2725000000000002,0.655,1.4838214285714286,0.17,3.02
917,10.079999999999998,1.2599999999999998,1.24,0.5049428571428571,0.01,2.29
918,3.49,0.43625,0.43,0.05588392857142858,0.0,0.87
919,0.01,0.00125,0.0,1.25e-05,0.0,0.01
920,13.279999999999998,1.6599999999999997,1.5150000000000001,0.2854571428571428,1.1,2.38
921,14.22,1.7775,1.8399999999999999,0.1765642857142858,1.15,2.28
922,16.400000000000002,2.0500000000000003,1.96,0.10140000000000002,1.73,2.47
923,19.16,2.395,2.405,0.14962857142857142,1.89,3.05
924,22.9,2.8625,2.825,0.049821428571428586,2.49,3.22
926,17.14,2.1425,2.13,0.13507857142857144,1.56,2.65
927,13.999999999999998,1.7499999999999998,1.7,0.08399999999999998,1.32,2.17
928,18.95,2.36875,2.375,0.17935535714285708,1.73,2.98
929,9.86,1.2325,1.2349999999999999,0.031735714285714325,0.95,1.51
930,9.77,1.22125,1.23,0.1590982142857143,0.64,1.64
931,24.029999999999998,3.0037499999999997,2.995,0.19814107142857135,2.34,3.81
932,25.61,3.20125,3.135,0.22609821428571433,2.44,4.0
933,25.769999999999996,3.2212499999999995,3.24,0.2922696428571429,2.18,3.76
934,18.430000000000003,2.3037500000000004,2.3899999999999997,0.03608392857142855,2.0,2.47
935,20.26,2.5325,2.575,0.3935357142857144,1.42,3.19
936,23.689999999999998,2.9612499999999997,2.9050000000000002,0.26044107142857137,2.18,3.71
937,12.94,1.6175,1.48,0.15770714285714288,1.26,2.47
946,18.14,2.2675,2.365,0.3662785714285715,1.42,3.19
947,7.949999999999999,0.9937499999999999,1.045,0.02699821428571428,0.74,1.19
948,6.17,0.77125,0.84,0.053183928571428576,0.32,1.1
949,9.99,1.24875,1.2850000000000001,0.2219839285714285,0.63,1.97
950,15.989999999999998,1.9987499999999998,2.065,0.07049821428571429,1.62,2.35
951,14.25,1.78125,1.745,0.05709821428571428,1.47,2.19
952,12.990000000000002,1.6237500000000002,1.75,0.11302678571428572,0.88,1.87
953,21.01,2.62625,2.62,0.10085535714285723,2.11,3.0
954,18.29,2.28625,2.38,0.3895125,1.44,3.17
956,20.17,2.52125,2.915,0.5876982142857141,1.53,3.26
957,28.68,3.585,3.66,0.5295142857142863,2.36,4.53
958,23.44,2.93,2.9050000000000002,0.07025714285714287,2.65,3.3
959,93.99000000000001,11.748750000000001,10.98,35.356898214285714,4.29,20.61
960,16.66,2.0825,2.11,0.1771642857142858,1.61,2.74
961,22.270000000000003,2.7837500000000004,2.795,0.12339821428571428,2.3,3.3
962,19.860000000000003,2.4825000000000004,2.5250000000000004,0.06696428571428582,2.15,2.74
963,28.359999999999996,3.5449999999999995,3.715,0.5326571428571428,2.48,4.31
964,29.59,3.69875,3.535,0.15278392857142856,3.26,4.28
965,49.290000000000006,6.161250000000001,6.29,0.6468410714285714,4.79,7.19
966,22.86,2.8575,2.955,0.11267857142857136,2.37,3.3
967,23.53,2.94125,3.0650000000000004,0.3512982142857143,2.12,3.64
968,21.64,2.705,2.6950000000000003,0.021514285714285677,2.49,3.0
969,17.770000000000003,2.2212500000000004,2.09,0.15349821428571434,1.84,2.76
971,16.700000000000003,2.0875000000000004,2.12,0.08265000000000003,1.59,2.47
976,14.209999999999997,1.7762499999999997,1.875,0.26999821428571424,1.1,2.51
977,15.330000000000002,1.9162500000000002,2.01,0.1939410714285715,1.08,2.33
978,26.279999999999998,3.2849999999999997,3.3200000000000003,0.20688571428571428,2.5,4.07
979,7.870000000000001,0.9837500000000001,0.97,0.022769642857142846,0.76,1.19
980,3.78,0.4725,0.38,0.23422142857142858,0.0,1.11
981,0.0,0.0,0.0,0.0,0.0,0.0
982,2.89,0.36125,0.32,0.15129821428571427,0.0,0.95
983,0.0,0.0,0.0,0.0,0.0,0.0
984,16.83,2.10375,2.335,0.29119821428571424,1.23,2.68
986,35.85,4.48125,3.09,14.54775535714286,1.25,12.3
987,12.4,1.55,1.645,0.6170285714285715,0.0,2.49
988,8.42,1.0525,1.03,0.00985,0.92,1.23
989,0.0,0.0,0.0,0.0,0.0,0.0
990,4.37,0.54625,0.55,0.08228392857142859,0.22,0.99
991,4.11,0.51375,0.59,0.06434107142857144,0.16,0.79
992,9.18,1.1475,1.03,0.09813571428571428,0.81,1.6
993,9.17,1.14625,1.24,0.31608392857142853,0.22,1.81
994,22.3,2.7875,2.94,0.1805642857142857,1.88,3.27
995,8.73,1.09125,1.1400000000000001,0.06241250000000002,0.7,1.36
996,1.41,0.17625,0.0,0.11028392857142856,0.0,0.82
997,21.22,2.6525,2.5650000000000004,0.08210714285714284,2.34,3.25
998,11.68,1.46,1.38,0.1833428571428571,0.94,2.07
999,16.54,2.0675,1.9049999999999998,0.08227857142857141,1.85,2.52
1001,32.010000000000005,4.001250000000001,3.9299999999999997,0.12984107142857151,3.53,4.48
1006,25.580000000000002,3.1975000000000002,3.245,0.22399285714285713,2.64,3.74
1007,16.85,2.10625,2.09,0.05979821428571436,1.9,2.66
1008,17.8,2.225,2.015,0.21979999999999994,1.79,3.15
1009,21.229999999999997,2.6537499999999996,2.77,0.1845696428571429,1.84,3.06
1010,26.14,3.2675,3.245,0.15322142857142856,2.71,4.05
1011,14.37,1.79625,1.68,0.24296964285714293,1.26,2.9
1012,31.37,3.92125,3.9499999999999997,0.5396410714285715,2.71,5.12
1013,12.68,1.585,1.66,0.1319428571428571,0.87,1.96
1014,0.0,0.0,0.0,0.0,0.0,0.0
1016,11.669999999999998,1.4587499999999998,1.58,0.21184107142857142,0.84,1.91
1017,12.51,1.56375,1.5499999999999998,0.3993982142857143,0.57,2.6
1018,30.38,3.7975,3.9,0.10522142857142859,3.23,4.16
1019,37.330000000000005,4.666250000000001,4.615,0.2005125000000001,4.0,5.45
1020,29.049999999999997,3.6312499999999996,3.63,0.007269642857142847,3.49,3.75
1021,14.180000000000001,1.7725000000000002,1.635,0.18896428571428575,1.19,2.43
1022,9.84,1.23,1.205,0.09442857142857149,0.67,1.7
1023,23.23,2.90375,2.825,0.4754839285714284,1.79,3.94
1024,24.27,3.03375,2.1500000000000004,7.945883928571428,1.49,9.91
1025,20.79,2.59875,2.49,0.10486964285714283,2.26,3.11
1026,26.520000000000003,3.3150000000000004,3.2800000000000002,0.4374571428571428,2.44,4.21
1027,17.83,2.22875,2.16,0.07786964285714286,1.86,2.61
1028,35.49,4.43625,4.529999999999999,1.2421982142857142,2.56,5.88
1029,18.91,2.36375,2.31,0.10068392857142856,1.96,2.86
1031,15.09,1.88625,1.78,0.13691249999999996,1.52,2.61
1036,11.91,1.48875,1.455,0.04052678571428573,1.2,1.78
1037,33.21,4.15125,4.21,0.2844410714285715,3.35,4.96
1038,38.06,4.7575,3.125,21.02127857142856,2.82,16.08
1039,14.430000000000001,1.8037500000000002,1.825,0.052683928571428604,1.47,2.16
